,vol,liq_yoy,spread,indpro_yoy,sent,DWA_score,DWA_allocation
2007-04-30,13.34,6.372945099825178,2.74,2.928277122815981,87.1,0.7092369477911646,0.22730923694779115
2007-07-31,25.18,6.166589300220493,4.19,2.5462969979318073,90.4,0.4881526104417671,0.17203815261044178
2007-10-31,18.34,6.089949583672549,4.36,2.544013542783752,80.9,0.48694779116465864,0.17173694779116466
2008-01-31,28.33,5.608080581037611,6.95,2.4005910504377725,78.4,0.30863453815261044,0.12715863453815263
2008-04-30,21.16,6.515944590992584,6.86,-0.8042547033000225,62.6,0.33855421686746995,0.1346385542168675
2008-07-31,24.67,6.456064601636902,8.0,-2.045316384108431,61.2,0.2619477911646586,0.11548694779116465
2008-10-31,61.38,7.361236386155268,16.17,-7.03047677889429,57.6,0.19799196787148593,0.09949799196787149
2009-01-31,45.85,10.26272031925508,16.26,-13.488198157011356,61.2,0.24949799196787148,0.11237449799196787
2009-04-30,37.22,8.798703403565655,13.45,-14.852901184452637,65.1,0.23694779116465864,0.10923694779116466
2009-07-31,25.59,8.628966012937678,9.22,-13.814305859822129,66.0,0.2835341365461848,0.1208835341365462
2009-10-31,28.89,6.432682541473866,7.6,-7.320327835891582,70.6,0.23755020080321287,0.10938755020080322
2010-01-31,24.46,2.2765110387260368,6.54,0.9262067279837805,74.4,0.21224899598393576,0.10306224899598394
2010-04-30,20.98,1.9508765239360626,5.61,5.44397210407237,72.2,0.3422690763052208,0.1355672690763052
2010-07-31,23.03,2.0795179299344158,6.59,7.667126099809418,67.8,0.2927710843373494,0.12319277108433735
2010-10-31,21.33,3.3047043438306334,5.93,5.734583682058547,67.7,0.3289156626506024,0.1322289156626506
2011-01-31,17.0,4.3325430246411,5.08,4.708166974437633,74.2,0.4344377510040161,0.15860943775100403
2011-04-30,14.06,5.55711413475477,4.76,3.5334681248321065,69.8,0.5044176706827309,0.17610441767068274
2011-07-31,25.94,8.08958851785404,5.58,2.4290308699050023,63.7,0.4312248995983935,0.1578062248995984
2011-10-31,28.31,9.232014962821044,7.07,3.3322786552962835,60.8,0.4216867469879518,0.15542168674698795
2012-01-31,18.3,10.235161107970603,6.61,3.609208374871109,75.0,0.5548192771084338,0.18870481927710847
2012-04-30,16.05,9.626586343602561,6.04,3.83729583768877,76.4,0.6022088353413655,0.20055220883534136
2012-07-31,18.19,7.786130386361689,6.16,3.3605726392072377,72.3,0.5179718875502008,0.1794929718875502
2012-10-31,18.6,7.357562722517463,5.63,1.9249841413494284,82.6,0.49979919678714857,0.17494979919678716
2013-01-31,13.99,7.662328338615221,4.95,1.461458564792073,73.8,0.5577309236947791,0.18943273092369478
2013-04-30,12.54,7.076114955300783,4.55,1.7413702686861932,76.4,0.5983935742971888,0.1995983935742972
2013-07-31,13.28,6.606725945059866,4.71,1.256560262267148,85.1,0.5835341365461847,0.1958835341365462
2013-10-31,12.54,6.716200182833143,4.36,2.432659941290538,73.2,0.5991967871485944,0.19979919678714858
2014-01-31,17.44,5.898603463714824,4.21,1.8500900445741042,81.2,0.4754016064257028,0.1688504016064257
2014-04-30,12.33,6.255660377358496,3.71,2.91355254713499,84.1,0.669578313253012,0.21739457831325298
2014-07-31,16.09,6.588695773729092,4.04,3.9400922357927914,81.8,0.6180722891566265,0.20451807228915664
2014-10-31,13.73,5.498851747894862,4.3,3.0603471142710337,86.9,0.5718875502008032,0.19297188755020078
2015-01-31,20.97,6.037817318244776,5.26,2.802683070990164,98.1,0.5395582329317269,0.18488955823293174
2015-04-30,15.17,5.9805914890216805,4.59,-0.5910006452100713,95.9,0.5512048192771084,0.1878012048192771
2015-07-31,12.4,5.340327868852457,5.36,-1.6597046171326846,93.1,0.5126506024096386,0.17816265060240966
2015-10-31,15.55,5.433374220410148,5.9,-2.724135620151691,90.0,0.4187751004016064,0.1546937751004016
2016-01-31,21.1,6.088498277880516,7.77,-3.2621120453574792,92.0,0.3607429718875502,0.14018574297188757
2016-04-30,16.04,6.4582338502266134,6.21,-2.7147309719388835,89.0,0.46154618473895576,0.16538654618473894
2016-07-31,11.52,6.980237875882911,5.69,-2.21991842855771,90.0,0.5856425702811245,0.19641064257028112
2016-10-31,18.25,7.385953988333216,4.91,-1.4303643405357502,87.2,0.5087349397590362,0.17718373493975903
2017-01-31,11.07,6.3556035344448425,4.0,-0.6268158098776011,98.5,0.6897590361445783,0.2224397590361446
2017-04-30,9.25,6.112877333249389,3.81,1.588281587164575,97.0,0.7140562248995984,0.22851405622489962
2017-07-31,8.65,5.631027286198642,3.61,1.255802001513473,93.4,0.6728915662650602,0.21822289156626506
2017-10-31,8.62,5.149117653790691,3.51,2.2948896769468874,100.7,0.7152610441767069,0.2288152610441767
2018-01-31,13.77,4.3803523228799435,3.29,2.7013898587068264,95.7,0.6303212851405623,0.2075803212851406
2018-04-30,16.3,3.776957076325238,3.46,3.3121221571825954,98.8,0.598995983935743,0.19974899598393575
2018-07-31,11.59,3.8839229972603917,3.46,3.2667742402821442,97.9,0.6785140562248997,0.2196285140562249
2018-10-31,23.57,3.331156581047745,3.81,2.91159558487879,98.6,0.48473895582329307,0.17118473895582326
2019-01-31,17.1,4.053908045149068,4.37,1.847165892169489,91.2,0.44206827309236946,0.16051706827309237
2019-04-30,12.44,4.005373846802485,3.73,-1.045231439957961,97.2,0.5693775100401606,0.19234437751004013
2019-07-31,16.19,5.014175722396241,3.93,-1.306550847023058,98.4,0.5207831325301205,0.18019578313253015
2019-10-31,13.33,6.500902317938917,4.15,-2.2533501010779333,95.5,0.6133534136546186,0.20333835341365464
2020-01-31,20.05,6.718954429345736,4.03,-1.9568536316827312,99.8,0.5700803212851406,0.19252008032128515
2020-04-30,32.8,16.841873823363706,7.63,-17.202282478186216,71.8,0.32168674698795185,0.13042168674698795
2020-07-31,22.1,23.191118352397822,5.16,-6.8643222878721595,72.5,0.44949799196787155,0.1623744979919679
2020-10-31,41.47,23.63172434709795,5.32,-4.983078676770248,81.8,0.4132530120481928,0.1533132530120482
2021-01-31,31.36,25.578121858033388,3.84,-2.490398392692905,79.0,0.49759036144578317,0.1743975903614458
2021-04-30,17.27,18.55939877921129,3.28,16.11987076234158,88.3,0.7762048192771085,0.2440512048192771
2021-07-31,16.21,12.736026932346679,3.32,5.3293713823777455,81.2,0.748293172690763,0.23707329317269077
