,10Y,CPI,GDP,Spread,VYM_score,VYM_allocation
2007-04-30,4.63,205.904,2.5,2.74,0.2911458333333333,0.12278645833333333
2007-07-31,4.78,207.603,2.3,4.19,0.3854166666666667,0.14635416666666667
2007-10-31,4.48,209.19,2.5,4.36,0.4067708333333333,0.15169270833333331
2008-01-31,3.67,212.174,-1.7,6.95,0.6921875,0.22304687499999998
2008-04-30,3.77,213.942,2.4,6.86,0.5635416666666666,0.19088541666666664
2008-07-31,3.99,219.016,-2.1,8.0,0.7182291666666667,0.22955729166666666
2008-10-31,4.01,216.995,-8.5,16.17,0.7265625,0.231640625
2009-01-31,2.87,211.933,-4.5,16.26,0.7838541666666665,0.24596354166666662
2009-04-30,3.16,212.709,-0.7,13.45,0.7390625,0.23476562499999998
2009-07-31,3.52,214.726,1.4,9.22,0.6700520833333333,0.21751302083333335
2009-10-31,3.41,216.509,4.4,7.6,0.4994791666666667,0.17486979166666666
2010-01-31,3.63,217.488,1.9,6.54,0.6260416666666666,0.20651041666666664
2010-04-30,3.69,217.403,3.9,5.61,0.44999999999999996,0.16249999999999998
2010-07-31,2.94,217.605,3.1,6.59,0.5791666666666666,0.19479166666666664
2010-10-31,2.63,219.035,2.1,5.93,0.6783854166666667,0.21959635416666667
2011-01-31,3.42,221.187,-0.9,5.08,0.68125,0.22031250000000002
2011-04-30,3.32,224.093,2.7,4.76,0.54375,0.18593749999999998
2011-07-31,2.82,225.395,-0.1,5.58,0.728125,0.23203125000000002
2011-10-31,2.17,226.75,4.6,7.07,0.6140625,0.20351562499999998
2012-01-31,1.83,227.842,3.4,6.61,0.6789062499999999,0.2197265625
2012-04-30,1.95,229.187,1.8,6.04,0.7625,0.24062499999999998
2012-07-31,1.51,228.59,0.6,6.16,0.85234375,0.2630859375
2012-10-31,1.72,231.638,0.5,5.63,0.8171875,0.254296875
2013-01-31,2.02,231.679,4.0,4.95,0.5747395833333334,0.19368489583333337
2013-04-30,1.7,231.797,1.1,4.55,0.7541666666666667,0.23854166666666665
2013-07-31,2.6,232.9,3.5,4.71,0.5255208333333334,0.18138020833333335
2013-10-31,2.57,233.669,3.5,4.36,0.5140625,0.178515625
2014-01-31,2.67,235.288,-1.4,4.21,0.6786458333333334,0.21966145833333334
2014-04-30,2.67,236.468,5.3,3.71,0.38385416666666666,0.14596354166666667
2014-07-31,2.58,237.498,5.0,4.04,0.42395833333333327,0.15598958333333332
2014-10-31,2.35,237.43,2.0,4.3,0.6276041666666666,0.20690104166666667
2015-01-31,1.68,234.747,3.6,5.26,0.6177083333333333,0.20442708333333331
2015-04-30,2.05,236.222,2.5,4.59,0.6197916666666666,0.20494791666666667
2015-07-31,2.2,238.034,1.6,5.36,0.6828125,0.220703125
2015-10-31,2.16,237.733,0.7,5.9,0.734375,0.23359375
2016-01-31,1.94,237.652,2.3,7.77,0.721875,0.23046875
2016-04-30,1.83,238.992,1.3,6.21,0.7481770833333333,0.23704427083333335
2016-07-31,1.46,240.101,2.9,5.69,0.6677083333333333,0.21692708333333333
2016-10-31,1.84,241.741,2.2,4.91,0.6588541666666666,0.21471354166666667
2017-01-31,2.45,243.618,2.0,4.0,0.5755208333333333,0.1938802083333333
2017-04-30,2.29,244.193,2.3,3.81,0.5489583333333333,0.18723958333333335
2017-07-31,2.3,244.243,3.2,3.61,0.4619791666666666,0.16549479166666664
2017-10-31,2.38,246.626,4.6,3.51,0.38749999999999996,0.14687499999999998
2018-01-31,2.72,248.859,3.3,3.29,0.3822916666666667,0.14557291666666666
2018-04-30,2.95,250.227,2.1,3.46,0.4635416666666666,0.16588541666666665
2018-07-31,2.96,251.214,2.5,3.46,0.41458333333333336,0.15364583333333334
2018-10-31,3.15,252.772,0.6,3.81,0.5255208333333333,0.18138020833333335
2019-01-31,2.63,252.561,2.5,4.37,0.5091145833333334,0.17727864583333336
2019-04-30,2.51,255.233,3.4,3.73,0.4192708333333333,0.15481770833333333
2019-07-31,2.02,255.802,4.8,3.93,0.4091145833333334,0.15227864583333334
2019-10-31,1.69,257.155,2.8,4.15,0.5473958333333333,0.18684895833333331
2020-01-31,1.51,259.127,-5.2,4.03,0.7184895833333332,0.22962239583333333
2020-04-30,0.64,256.032,-28.0,7.63,0.8583333333333332,0.2645833333333333
2020-07-31,0.55,258.352,34.9,5.16,0.5067708333333334,0.17669270833333334
2020-10-31,0.88,260.319,4.6,5.32,0.5380208333333333,0.18450520833333334
2021-01-31,1.11,262.639,5.7,3.84,0.4375,0.159375
2021-04-30,1.65,266.625,7.0,3.28,0.36302083333333335,0.14075520833333333
2021-07-31,1.24,271.965,3.3,3.32,0.47604166666666664,0.16901041666666666
